team_name,total_pressures,len_0,len_1,len_2,len_3,len_4,len_5,wid_0,wid_1,wid_2,wid_3,wid_4,zone_0_0,zone_0_1,zone_0_2,zone_0_3,zone_0_4,zone_0_5,zone_1_0,zone_1_1,zone_1_2,zone_1_3,zone_1_4,zone_1_5,zone_2_0,zone_2_1,zone_2_2,zone_2_3,zone_2_4,zone_2_5,zone_3_0,zone_3_1,zone_3_2,zone_3_3,zone_3_4,zone_3_5,zone_4_0,zone_4_1,zone_4_2,zone_4_3,zone_4_4,zone_4_5
Deportivo Alavés,7193,822.0,1396.0,1720.0,1642.0,1002.0,611.0,1779.0,1441.0,1025.0,1331.0,1617.0,210.0,400.0,447.0,389.0,232.0,101.0,149.0,277.0,347.0,349.0,197.0,122.0,135.0,135.0,210.0,244.0,140.0,161.0,134.0,257.0,297.0,319.0,195.0,129.0,194.0,327.0,419.0,341.0,238.0,98.0
Real Valladolid,6735,964.0,1644.0,1706.0,1238.0,715.0,468.0,1427.0,1393.0,1219.0,1491.0,1205.0,197.0,357.0,371.0,268.0,143.0,91.0,234.0,328.0,342.0,253.0,147.0,89.0,202.0,273.0,253.0,228.0,126.0,137.0,193.0,404.0,385.0,261.0,168.0,80.0,138.0,282.0,355.0,228.0,131.0,71.0
Sevilla,6149,730.0,1210.0,1437.0,1287.0,909.0,576.0,1326.0,1197.0,928.0,1268.0,1430.0,177.0,274.0,345.0,283.0,177.0,70.0,138.0,239.0,263.0,230.0,204.0,123.0,94.0,155.0,169.0,189.0,147.0,174.0,152.0,245.0,286.0,274.0,191.0,120.0,169.0,297.0,374.0,311.0,190.0,89.0
Leganés,6618,843.0,1432.0,1530.0,1371.0,921.0,521.0,1308.0,1365.0,1139.0,1365.0,1441.0,133.0,278.0,338.0,284.0,190.0,85.0,148.0,310.0,302.0,302.0,192.0,111.0,169.0,207.0,221.0,235.0,166.0,141.0,181.0,315.0,303.0,267.0,197.0,102.0,212.0,322.0,366.0,283.0,176.0,82.0
Valencia,6456,827.0,1280.0,1349.0,1359.0,973.0,668.0,1522.0,1243.0,1026.0,1238.0,1427.0,175.0,347.0,350.0,328.0,208.0,114.0,144.0,248.0,250.0,254.0,218.0,129.0,142.0,164.0,168.0,209.0,171.0,172.0,181.0,235.0,266.0,250.0,174.0,132.0,185.0,286.0,315.0,318.0,202.0,121.0
Athletic Club,6915,572.0,990.0,1571.0,1735.0,1272.0,775.0,1463.0,1412.0,1107.0,1371.0,1562.0,134.0,219.0,394.0,351.0,250.0,115.0,113.0,185.0,330.0,384.0,259.0,141.0,83.0,100.0,195.0,291.0,232.0,206.0,129.0,215.0,257.0,349.0,256.0,165.0,113.0,271.0,395.0,360.0,275.0,148.0
Barcelona,5358,488.0,679.0,942.0,1352.0,1180.0,717.0,1096.0,1027.0,986.0,981.0,1268.0,105.0,143.0,247.0,326.0,195.0,80.0,88.0,147.0,159.0,238.0,253.0,142.0,84.0,68.0,117.0,223.0,255.0,239.0,86.0,110.0,145.0,254.0,236.0,150.0,125.0,211.0,274.0,311.0,241.0,106.0
Real Betis,6452,661.0,1258.0,1519.0,1459.0,959.0,596.0,1523.0,1341.0,1050.0,1285.0,1253.0,152.0,314.0,362.0,359.0,224.0,112.0,135.0,268.0,301.0,289.0,220.0,128.0,104.0,167.0,214.0,245.0,158.0,162.0,147.0,245.0,314.0,271.0,192.0,116.0,123.0,264.0,328.0,295.0,165.0,78.0
Girona,6117,707.0,1174.0,1307.0,1340.0,967.0,622.0,1205.0,1171.0,1042.0,1308.0,1391.0,81.0,217.0,294.0,305.0,204.0,104.0,129.0,242.0,252.0,247.0,188.0,113.0,147.0,180.0,162.0,199.0,153.0,201.0,206.0,272.0,250.0,261.0,206.0,113.0,144.0,263.0,349.0,328.0,216.0,91.0
Espanyol,7326,1017.0,1591.0,1832.0,1492.0,899.0,495.0,1406.0,1515.0,1227.0,1624.0,1554.0,179.0,319.0,377.0,312.0,151.0,68.0,216.0,362.0,356.0,270.0,212.0,99.0,159.0,246.0,266.0,254.0,169.0,133.0,271.0,330.0,391.0,326.0,199.0,107.0,192.0,334.0,442.0,330.0,168.0,88.0
Mallorca,6442,867.0,1365.0,1498.0,1370.0,872.0,470.0,1304.0,1286.0,1073.0,1321.0,1458.0,156.0,263.0,305.0,295.0,195.0,90.0,173.0,292.0,297.0,262.0,181.0,81.0,151.0,206.0,205.0,225.0,145.0,141.0,224.0,311.0,286.0,245.0,173.0,82.0,163.0,293.0,405.0,343.0,178.0,76.0
Getafe,7231,730.0,1230.0,1693.0,1724.0,1193.0,661.0,1788.0,1475.0,1138.0,1283.0,1547.0,190.0,328.0,436.0,432.0,280.0,122.0,152.0,262.0,338.0,352.0,253.0,118.0,111.0,167.0,224.0,242.0,212.0,182.0,128.0,187.0,268.0,345.0,231.0,124.0,149.0,286.0,427.0,353.0,217.0,115.0
Rayo Vallecano,7013,794.0,1317.0,1512.0,1585.0,1111.0,694.0,1481.0,1500.0,1140.0,1352.0,1540.0,166.0,338.0,333.0,302.0,227.0,115.0,208.0,281.0,305.0,317.0,258.0,131.0,128.0,167.0,245.0,246.0,157.0,197.0,160.0,230.0,258.0,349.0,231.0,124.0,132.0,301.0,371.0,371.0,238.0,127.0
